       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2016 (Casos Nuevos Notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total general
Otras salmonelosis(A02),,,,,,,,,,2,,2,2,,2,,,,,1,1,,,,2,,2,,1,1,1,1,2,10
Parotiditis infecciosa(B26),,,,,1,1,3,,3,,,,,1,1,,,,4,1,5,1,,1,1,1,2,,,,1,1,2,15
Peatón lesionado en accidente de transporte(V01-V09),,,,,,,,,,,,,,2,2,,,,,1,1,,1,1,,,,1,1,2,3,2,5,11
Quemaduras(T20-T32),,,,3,10,13,2,1,3,3,9,12,10,3,13,5,4,9,44,39,83,10,12,22,35,19,54,8,6,14,32,10,42,265
Shigelosis(A03),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
Sífilis adquirida(A51-A53),,,,,,,,,,,,,,,,,,,,2,2,,,,,1,1,,,,1,1,2,5
"Síndrome meníngeo(G00-G03 EXCEPTO G00.0, G00.1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Tricomoniasis urogenital(A59.0),,,,,,,,,,,,,,,,,,,1,,1,1,,1,,1,1,,,,,,,3
"Tuberculosis otras formas(A17.1, A17.8, A17.9, A18-A19)",,,,,,,,1,1,,,,1,,1,,,,,1,1,,,,1,,1,,,,,1,1,5
Tuberculosis respiratoria(A15-A16),,,,,,,,,,,,,,,,1,,1,1,,1,,,,1,3,4,,2,2,1,6,7,15
Tumor maligno de la mama(C50),,,,,,,,,,,,,,,,,,,9,,9,5,,5,13,1,14,5,,5,24,,24,57
Tumor maligno de la próstata(C61),,,,,,,,,,,,,,,,,,,,,,,1,1,,3,3,,2,2,,15,15,21
Tumor maligno de riñón(C64),,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,3
"Tumor maligno de tráquea, bronquios y pulmón(C33-C34)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2
Tumor maligno del colon y recto(C18-C21),,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,2,2,2,4,2,1,3,10
Tumor maligno del cuello del útero(C53),,,,,,,,,,,,,,,,,,,1,,1,3,,3,4,,4,,,,3,,3,11
Tumor maligno del cuerpo del útero(C54),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1
Tumor maligno del esófago(C15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Tumor maligno del estómago(C16),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,3,1,4,5
Tumor maligno del hígado y de las vías biliares intrahepáticas(C22),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1
Tumor maligno del ovario(C56),,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1
"Úlceras, gastritis y duodenitis(K25-K29)",,,,1,2,3,13,8,21,46,33,79,49,29,78,21,14,35,163,92,255,55,28,83,114,59,173,57,33,90,154,91,245,1062
Varicela(B01),,,,4,5,9,6,5,11,3,6,9,2,2,4,,,,4,6,10,,,,,1,1,,,,,,,44
Violencia intrafamiliar(Y07.0-Y07.2),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1
Vulvovaginitis(N76),,,,1,,1,,,,1,,1,2,,2,4,,4,61,,61,27,,27,68,,68,18,,18,20,,20,202
Total general,561,613,1174,2718,3038,5756,3883,3935,7818,3077,3330,6407,2198,1859,4057,766,526,1292,7430,5363,12793,3065,2121,5186,6951,4717,11668,3111,2051,5162,8032,4952,12984,74297
Tumor maligno de la mama(C50),,,,,,,,,,,,,,,,1,,1,17,,17,10,,10,48,1,49,22,,22,62,,62,161
Tumor maligno de la próstata(C61),,,,,,,,,,,,,,,,,,,,,,,2,2,,6,6,,11,11,,34,34,53
Tumor maligno de riñón(C64),,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,,1,,1,1,2,2,4,8
"Tumor maligno de tráquea, bronquios y pulmón(C33-C34)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,5
Tumor maligno del colon y recto(C18-C21),,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,2,3,6,9,6,6,12,24
Tumor maligno del cuello del útero(C53),,,,,,,,,,,,,,,,,,,3,,3,4,,4,6,,6,2,,2,18,,18,33
Tumor maligno del cuerpo del útero(C54),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,,,,2
Tumor maligno del esófago(C15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,2
Tumor maligno del estómago(C16),,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,4,2,6,8
Tumor maligno del hígado y de las vías biliares intrahepáticas(C22),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1
Tumor maligno del ovario(C56),,,,,,,,,,1,,1,,,,,,,,,,1,,1,,,,,,,,,,2
Tumor maligno del páncreas(C25),,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,2
Tumores malignos del encéfalo y de otras partes del sistema nervioso central(C70-C72),,,,,,,,,,,,,,,,,,,1,,1,,,,,2,2,,,,,,,3
"Úlceras, gastritis y duodenitis(K25-K29)",,,,9,5,14,39,23,62,148,111,259,164,91,255,80,33,113,423,233,656,134,93,227,293,164,457,163,102,265,384,222,606,2914
Varicela(B01),,1,1,7,16,23,21,13,34,12,21,33,5,10,15,2,,2,16,14,30,2,2,4,1,4,5,1,,1,2,,2,150
Violencia intrafamiliar(Y07.0-Y07.2),,,,,,,,,,,,,,,,,,,2,,2,,,,,1,1,1,,1,,,,4
Viruela símica(B04),,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1
Vulvovaginitis(N76),,,,1,,1,3,,3,1,,1,9,,9,23,,23,164,,164,83,,83,154,,154,42,,42,57,,57,537
Total general,1561,1672,3233,8435,9279,17714,11827,11979,23806,8793,9693,18486,6070,5218,11288,2349,1582,3931,21788,15381,37169,8763,6063,14826,19941,13042,32983,8975,5772,14747,21840,13929,35769,213952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: SINAVE/PEMEX. Cubos dinámicos. SUIVE 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2023 (casos nuevos notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE-DICIEMBRE 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total
Padecimiento,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,
"Accidentes de transporte en vehículos con motor(V20-V29, V40-V79)",,,,1,1,2,2,,2,4,6,10,2,11,13,6,2,8,19,36,55,8,7,15,4,12,16,4,2,6,2,4,6,133
"Amebiasis intestinal(A06.0-A06.3, A06.9)",1,2,3,1,3,4,3,2,5,,6,6,3,,3,,1,1,2,6,8,,1,1,8,2,10,2,1,3,5,5,10,54
"Anorexia, bulimia y otros trastornos alimentarios(F50)",,,,,1,1,1,2,3,,,,3,,3,,,,,,,,,,,1,1,,,,,,,8
"Asma(J45, J46)",4,5,9,51,78,129,83,98,181,26,54,80,12,5,17,6,4,10,30,9,39,10,6,16,21,11,32,13,3,16,24,13,37,566
Candidiasis urogenital(B37.3-B37.4),,,,,,,,,,1,,1,1,,1,4,,4,16,,16,11,,11,8,,8,2,,2,8,1,9,52
Cirrosis hepática alcohólica(K70.3),,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,3,3,5
Cisticercosis(B69),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Cólera(A00),,,,,,,,,,,,,,,,1,,1,1,,1,,1,1,,1,1,1,,1,2,,2,7
Conjuntivitis(H10),15,13,28,57,57,114,84,93,177,65,59,124,53,44,97,31,13,44,201,210,411,94,90,184,217,178,395,123,104,227,285,210,495,2296
"Contacto traumático con avispas, avispones y abejas(X23)",,,,,,,1,1,2,,,,1,,1,,,,2,3,5,,,,2,1,3,,,,,,,11
COVID-19(U07.1-U07.2),2,9,11,16,16,32,11,11,22,7,6,13,2,3,5,1,1,2,28,22,50,10,5,15,17,9,26,4,7,11,47,33,80,267
Dengue con signos de alarma(A97.1),,,,2,1,3,3,,3,7,10,17,7,6,13,5,2,7,9,10,19,4,4,8,6,11,17,,,,3,10,13,100
Dengue grave(A97.2),,1,1,,,,,,,1,4,5,,,,,,,1,,1,,,,1,3,4,1,,1,1,2,3,15
"Dengue no grave(A97.0, A97.9)",1,6,7,3,7,10,17,18,35,50,62,112,27,41,68,6,7,13,64,71,135,18,27,45,30,50,80,14,4,18,14,27,41,564
Depresión(F32),,,,,,,,,,3,6,9,6,3,9,1,1,2,6,5,11,4,2,6,11,4,15,5,2,7,9,3,12,71
Desnutrición leve(E44.1),,,,1,,1,,2,2,,1,1,,,,,,,,,,,,,,,,,,,,1,1,5
Desnutrición moderada(E44.0),,,,,,,3,,3,1,1,2,,,,,,,1,,1,,,,,,,,,,,,,6
Desnutrición severa(E40-E43),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2
Diabetes mellitus en el embarazo(O24.4),,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,4
Diabetes mellitus tipo 1(E10),,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1
Diabetes mellitus tipo 2(E11-E14),,,,,,,,,,,,,,,,4,,4,43,45,88,38,41,79,101,78,179,50,38,88,60,63,123,561
Displasia cervical leve y moderada(N87.0-N87.1),,,,,,,,,,,,,,,,2,,2,25,,25,8,,8,17,,17,11,,11,5,,5,68
"Displasia cervical severa y CaCu in situ(N87.2, D06)",,,,,,,,,,,,,,,,,,,3,,3,1,,1,6,,6,2,,2,4,,4,16
"Edema, proteinuria y transtornos hipertensivos en el embarazo, parto y puerperio(O10-O16)",,,,,,,,,,,,,,,,,,,2,,2,1,,1,,,,,,,,,,3
"Efectos del calor y de la luz(T67, X30)",,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,,,,,2
Enfermedad alcohólica del hígado(K70 EXCEPTO K70.3),,,,,,,,,,,,,,,,,,,,1,1,,1,1,,2,2,1,1,2,1,5,6,12
"Enfermedad cerebrovascular(I60-I67, I69)",,,,1,,1,1,1,2,2,,2,1,,1,,,,4,5,9,,4,4,12,25,37,7,16,23,104,113,217,296
Enfermedad de Alzheimer(G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2
Enfermedad de Parkinson(G20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,1,5,7
Enfermedad isquémica del corazón(I20-I25),,,,,,,,,,,,,1,,1,,,,1,12,13,2,9,11,15,48,63,24,22,46,79,100,179,313
Erisipela(A46),,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,5,1,6,8
Escabiosis(B86),,,,3,3,6,,7,7,6,5,11,5,3,8,,3,3,7,3,10,1,2,3,6,3,9,1,3,4,7,10,17,78
"Eventos supuestamente asociados a la vacunación (ESAVI)(Y58, Y59)",1,,1,1,,1,,,,1,1,2,1,1,2,,,,1,,1,,,,2,2,4,,,,2,1,3,14
"Faringitis y amigdalitis estreptocócicas(J02.0, J03.0)",,1,1,1,,1,1,5,6,1,,1,,1,1,,,,2,2,4,,,,,,,,,,,,,14
Fiebre tifoidea(A01.0),,,,,,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,2
Gingivitis y enfermedad periodontal(K05),1,,1,12,19,31,40,34,74,54,61,115,51,59,110,49,61,110,309,223,532,123,112,235,365,290,655,175,134,309,386,341,727,2899
Hepatitis vírica A(B15),,,,,,,,,,,,,,,,,,,1,1,2,,1,1,,,,,,,,,,3
Hepatitis vírica B(B16),,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2
"Hepatitis vírica C(B17.1, B18.2)",,,,,,,,,,,,,,,,,,,2,1,3,1,,1,,,,,,,,1,1,5
Herida por arma de fuego y punzocortantes(W32-W34),,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1
Herpes genital(A60.0),,,,,,,,,,,,,,,,,,,,1,1,1,,1,,1,1,,,,2,1,3,6
Hiperplasia de la próstata(N40),,,,,,,,,,,,,,,,,,,,,,,4,4,,22,22,,9,9,,35,35,70
Hipertensión arterial(I10-I15),,,,,,,,,,,,,2,4,6,1,3,4,81,72,153,53,51,104,135,108,243,50,46,96,115,90,205,811
Infección asociada a la atención de la salud(S/C),,2,2,,,,2,,2,1,,1,,,,,,,3,6,9,1,1,2,15,8,23,2,10,12,34,37,71,122
"Infección de vías urinarias(N30, N34, N39.0)",5,7,12,104,22,126,199,71,270,160,54,214,166,35,201,119,26,145,945,217,1162,449,131,580,1164,307,1471,590,232,822,1840,827,2667,7670
"Infección por el virus de la inmunodeficiencia humana(B20-B24, Z21)",,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,1,1,6
Infección por virus del papiloma humano(B97.7),,,,,,,1,,1,,,,,,,4,2,6,12,3,15,5,2,7,6,4,10,1,,1,1,,1,41
"Infecciones intestinales por otros organismos y las mal definidas(A04, A08-A09 EXCEPTO A08.0)",34,49,83,214,290,504,300,332,632,228,346,574,203,197,400,84,56,140,573,539,1112,213,193,406,540,457,997,226,180,406,618,379,997,6251
"Infecciones respiratorias agudas(J00-J06, J20, J21 EXCEPTO J02.0 Y J03.0)",497,631,1128,2637,2744,5381,3698,3895,7593,2848,3176,6024,1708,1544,3252,629,452,1081,4240,2831,7071,1668,1142,2810,3759,2432,6191,1781,1140,2921,3788,2395,6183,49635
Influenza(J09-J11),2,9,11,11,12,23,11,11,22,9,7,16,2,3,5,1,2,3,17,9,26,5,2,7,12,5,17,3,4,7,28,16,44,181
Insuficiencia venosa periférica(I87.2),,,,,,,,,,,,,,,,,,,6,3,9,10,2,12,14,5,19,12,6,18,21,20,41,99
Intoxicación aguda por alcohol(F10.0),,,,,,,,,,,,,,,,,,,1,1,2,,1,1,1,3,4,,1,1,,1,1,9
Intoxicación alimentaria bacteriana(A05),,,,2,2,4,1,4,5,4,,4,1,,1,,1,1,,1,1,1,1,2,,,,,,,1,,1,19
"Intoxicación por picadura de alacrán(T63.2, X22)",,,,,,,,1,1,1,,1,,,,,,,2,3,5,1,,1,,4,4,4,2,6,3,4,7,25
Intoxicación por plaguicidas(T60),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1
"Intoxicación por ponzoña de animales(T63, X21, X27, EXCEPTO T63.0 Y T63.2)",,,,,,,,,,1,,1,,,,,,,,,,,,,2,1,3,2,1,3,,1,1,8
Labio y paladar hendido(Q35-Q37),,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Leucemia(C91-C95),,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Linfogranuloma venéreo por clamidias(A55),,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1
Mordeduras por otros mamíferos(W55),,,,,,,2,1,3,3,1,4,3,1,4,,1,1,3,5,8,4,2,6,8,4,12,,1,1,3,5,8,47
Mordeduras por perro(W54),,,,1,2,3,13,8,21,12,6,18,3,9,12,6,2,8,31,19,50,6,6,12,19,17,36,9,6,15,21,20,41,216
"Neumonías y bronconeumonías(J12-J18 EXCEPTO J18.2, J13 y J14)",7,9,16,20,28,48,18,23,41,7,9,16,7,2,9,2,,2,7,8,15,5,2,7,23,12,35,9,10,19,117,76,193,401
Obesidad(E66),,,,8,9,17,42,80,122,80,96,176,34,42,76,9,6,15,86,58,144,23,14,37,48,34,82,20,10,30,19,9,28,727
Otitis media aguda(H65.0-H65.1),2,2,4,39,48,87,72,58,130,35,39,74,7,9,16,2,1,3,46,14,60,11,8,19,29,20,49,6,7,13,16,10,26,481
"Otras helmintiasis(B65-B67, B70-B76, B78, B79, B81-B83 EXCEPTO B73 y B75)",,,,8,11,19,15,25,40,21,16,37,10,11,21,3,1,4,12,12,24,5,7,12,8,8,16,2,1,3,14,4,18,194
"Otras hepatitis víricas(B17-B19 EXCEPTO B17.1, B18.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
"Otras infecciones intestinales debidas a protozoarios(A07.0, A07.2, A07.9)",,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,1,1,,,,3
Otras rickettsiosis(A79),,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,2
Otras salmonelosis(A02),,,,,,,,,,1,2,3,,,,1,,1,1,,1,,2,2,,2,2,,,,1,,1,10
Parotiditis infecciosa(B26),,,,,,,,1,1,1,2,3,,,,,,,1,,1,1,1,2,1,4,5,1,1,2,,1,1,15
Peatón lesionado en accidente de transporte(V01-V09),,,,,,,,,,,,,2,,2,,,,1,1,2,4,,4,,,,,,,1,6,7,15
Quemaduras(T20-T32),1,,1,,1,1,2,3,5,1,2,3,2,3,5,1,3,4,29,30,59,17,8,25,24,22,46,11,8,19,30,16,46,214
Tricomoniasis urogenital(A59.0),,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1
"Tuberculosis otras formas(A17.1, A17.8, A17.9, A18-A19)",,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1
Tuberculosis respiratoria(A15-A16),,,,,,,,,,,,,,1,1,,,,,2,2,,,,,4,4,,3,3,1,1,2,12
Tumor maligno de la mama(C50),,,,,,,,,,,,,,,,,,,8,1,9,6,1,7,17,,17,7,2,9,27,,27,69
Tumor maligno de la próstata(C61),,,,,,,,,,,,,,,,,,,,,,,1,1,,2,2,,1,1,,6,6,10
Tumor maligno del colon y recto(C18-C21),,,,,,,,,,,,,,,,,,,,1,1,,1,1,,2,2,,1,1,,1,1,6
Tumor maligno del cuello del útero(C53),,,,,,,,,,,,,,,,,,,2,,2,2,,2,1,,1,2,,2,,,,7
Tumor maligno del esófago(C15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2
Tumor maligno del estómago(C16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,3,4
Tumor maligno del ovario(C56),,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,2
"Úlceras, gastritis y duodenitis(K25-K29)",,,,,2,2,11,2,13,44,34,78,57,41,98,18,14,32,101,59,160,48,19,67,88,62,150,42,20,62,123,68,191,853
Varicela(B01),,2,2,7,9,16,12,7,19,11,9,20,3,5,8,1,,1,1,12,13,2,1,3,,2,2,,,,,,,84
Violencia intrafamiliar(Y07.0-Y07.2),,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,2
Vulvovaginitis(N76),,,,,,,,,,1,,1,3,,3,11,,11,55,,55,18,,18,31,,31,12,,12,19,,19,150
Total general,573,749,1322,3201,3366,6567,4650,4797,9447,3699,4081,7780,2389,2084,4473,1008,665,1673,7053,4584,11637,2896,1918,4814,6796,4285,11081,3234,2043,5277,7907,4982,12889,76960
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: SINAVE/PEMEX. Cubos dinámicos. SUIVE 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2024 (casos nuevos notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERO-MARZO 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total
Padecimiento,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,
"Accidentes de transporte en vehículos con motor(V20-V29, V40-V79)",,,,,1,1,1,3,4,2,5,7,7,17,24,1,5,6,17,29,46,5,11,16,10,5,15,1,8,9,0,8,8,136
"Amebiasis intestinal(A06.0-A06.3, A06.9)",,1,1,4,5,9,7,8,15,2,4,6,2,2,4,,,,2,6,8,5,2,7,6,2,8,2,1,3,6,3,9,70
"Anorexia, bulimia y otros trastornos alimentarios(F50)",,,,,,,1,,1,5,1,6,1,,1,,,,1,1,2,,,,,,,,,,0,1,1,11
Ascariasis(B77),,,,1,,1,,2,2,,2,2,,,,,,,,,,,,,,,,1,,1,0,0,0,6
"Asma(J45, J46)",5,1,6,33,46,79,68,88,156,29,52,81,12,11,23,3,2,5,32,16,48,9,4,13,28,14,42,14,5,19,32,13,45,517
Brucelosis(A23),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,0,0,0,1
Candidiasis urogenital(B37.3-B37.4),,,,,,,,,,,,,2,,2,3,1,4,30,2,32,8,,8,4,2,6,4,,4,5,2,7,63
Cirrosis hepática alcohólica(K70.3),,,,,,,,,,,,,,,,,,,1,,1,,,,,2,2,1,,1,0,0,0,4
Cólera(A00),,,,,,,,,,2,,2,,,,,,,1,1,2,,,,2,,2,2,,2,1,2,3,11
Conjuntivitis(H10),27,31,58,114,105,219,127,183,310,80,104,184,67,43,110,23,18,41,278,226,504,115,125,240,270,253,523,113,115,228,339,255,594,3011
"Contacto traumático con avispas, avispones y abejas(X23)",,,,,,,,,,,,,1,,1,,,,,,,,,,,1,1,,,,0,0,0,2
COVID-19(U07.1-U07.2),1,2,3,8,9,17,18,10,28,13,14,27,12,20,32,10,5,15,171,94,265,51,40,91,114,60,174,33,18,51,85,68,153,856
Dengue con signos de alarma(A97.1),,,,1,1,2,5,3,8,6,11,17,9,17,26,3,,3,12,11,23,3,5,8,8,5,13,2,4,6,5,5,10,116
Dengue grave(A97.2),,,,,,,1,,1,,1,1,1,1,2,,,,1,1,2,,,,,,,,1,1,0,1,1,8
"Dengue no grave(A97.0, A97.9)",,,,3,1,4,12,15,27,30,34,64,17,31,48,3,7,10,45,62,107,7,11,18,15,19,34,5,4,9,4,15,19,340
Depresión(F32),,,,,,,2,,2,2,2,4,13,3,16,1,3,4,11,2,13,3,2,5,13,4,17,2,2,4,10,6,16,81
Desnutrición leve(E44.1),,,,3,2,5,,1,1,,,,1,1,2,,,,,1,1,,,,,,,,,,0,1,1,10
Desnutrición moderada(E44.0),,1,1,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,0,0,0,3
Desnutrición severa(E40-E43),,,,,,,,1,1,,,,1,1,2,,,,,,,,,,,1,1,,,,0,0,0,4
Diabetes mellitus en el embarazo(O24.4),,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,0,0,0,3
Diabetes mellitus tipo 1(E10),,,,,,,,1,1,1,,1,1,,1,,1,1,,,,,,,,,,,,,0,0,0,4
Diabetes mellitus tipo 2(E11-E14),,,,,,,,,,1,,1,,,,1,2,3,62,76,138,47,35,82,116,109,225,42,41,83,87,73,160,692
Displasia cervical leve y moderada(N87.0-N87.1),,,,,,,,,,,,,,,,1,,1,9,,9,7,,7,15,,15,4,,4,1,0,1,37
"Displasia cervical severa y CaCu in situ(N87.2, D06)",,,,,,,,,,,,,,,,,,,10,,10,3,,3,3,,3,3,,3,1,0,1,20
"Edema, proteinuria y transtornos hipertensivos en el embarazo, parto y puerperio(O10-O16)",,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,0,0,0,4
Enfermedad alcohólica del hígado(K70 EXCEPTO K70.3),,,,,,,,,,,,,,,,,,,1,1,2,,,,,12,12,1,3,4,1,3,4,22
"Enfermedad cerebrovascular(I60-I67, I69)",,,,,,,,,,,1,1,1,3,4,,,,2,5,7,6,2,8,15,19,34,10,23,33,134,102,236,323
Enfermedad de Alzheimer(G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
Enfermedad de Parkinson(G20),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,3,4,3,7,11
Enfermedad febril exantemática(U97),,,,,,,,1,1,,,,1,,1,,,,,,,,,,,,,,,,0,0,0,2
Enfermedad isquémica del corazón(I20-I25),,,,,,,,,,,,,,,,,,,6,13,19,5,11,16,26,47,73,10,35,45,84,97,181,334
Enfermedad por virus Chikungunya(A92.0),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,0,0,0,1
Enterobiasis(B80),,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,0,0,0,1
Erisipela(A46),,,,,,,,,,,,,1,,1,,,,1,3,4,,,,2,,2,1,1,2,4,5,9,18
Escabiosis(B86),,,,2,5,7,2,8,10,5,4,9,3,4,7,,1,1,7,3,10,4,2,6,11,3,14,1,2,3,6,4,10,77
Espina bífida(Q05),1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
"Eventos supuestamente asociados a la vacunación (ESAVI)(Y58, Y59)",1,1,2,2,1,3,,,,,,,,,,,,,,,,,,,,1,1,,,,0,1,1,7
"Faringitis y amigdalitis estreptocócicas(J02.0, J03.0)",,1,1,1,,1,2,1,3,,,,1,,1,,,,2,2,4,1,,1,2,,2,,1,1,2,1,3,17
Fiebre paratifoidea(A01.1-A01.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,0,0,1
